date,city,cases,deaths,ndeaths
2020-03-13,Salvador,3,0,0
2020-03-14,Salvador,3,0,0
2020-03-15,Salvador,4,0,0
2020-03-16,Salvador,4,0,0
2020-03-17,Salvador,5,0,0
2020-03-18,Salvador,17,0,0
2020-03-20,Salvador,18,0,0
2020-03-19,Salvador,18,0,0
2020-03-21,Salvador,23,0,0
2020-03-22,Salvador,33,0,0
2020-03-23,Salvador,37,0,0
2020-03-24,Salvador,45,0,0
2020-03-25,Salvador,54,0,0
2020-03-26,Salvador,60,0,0
2020-03-27,Salvador,78,0,0
2020-03-28,Salvador,81,0,0
2020-03-29,Salvador,103,1,1
2020-03-30,Salvador,117,2,1
2020-03-31,Salvador,132,2,0
2020-04-01,Salvador,153,2,0
2020-04-02,Salvador,167,3,1
2020-04-03,Salvador,183,5,2
2020-04-04,Salvador,215,5,0
2020-04-05,Salvador,244,7,2
2020-04-06,Salvador,263,8,1
2020-04-07,Salvador,269,10,2
2020-04-08,Salvador,292,11,1
2020-04-09,Salvador,314,11,0
2020-04-10,Salvador,343,11,0
2020-04-11,Salvador,355,11,0
2020-04-12,Salvador,364,11,0
2020-04-13,Salvador,390,11,0
2020-04-14,Salvador,428,13,2
2020-04-15,Salvador,522,15,2
2020-04-16,Salvador,572,18,3
2020-04-17,Salvador,643,18,0
2020-04-18,Salvador,760,19,1
2020-04-19,Salvador,764,22,3
2020-04-20,Salvador,824,23,1
2020-04-21,Salvador,927,23,0
2020-04-22,Salvador,1039,27,4
2020-04-23,Salvador,1137,34,7
2020-04-24,Salvador,1223,37,3
2020-04-25,Salvador,1308,38,1
2020-04-26,Salvador,1362,39,1
2020-04-27,Salvador,1435,48,9
2020-04-28,Salvador,1583,56,8
2020-04-29,Salvador,1645,62,6
2020-04-30,Salvador,1790,67,5
2020-05-01,Salvador,2001,76,9
2020-05-02,Salvador,2106,78,2
2020-05-03,Salvador,2253,80,2
2020-05-04,Salvador,2377,91,11
