"","date","UF","newcases","state","totalcases"
"1",2020-02-25,35,1,"São Paulo",1
"2",2020-02-29,35,1,"São Paulo",2
"3",2020-03-04,35,1,"São Paulo",3
"4",2020-03-05,32,1,"Espírito Santo",1
"5",2020-03-05,33,1,"Rio de Janeiro",1
"6",2020-03-05,35,3,"São Paulo",6
"7",2020-03-05,53,1,"Distrito Federal",1
"8",2020-03-06,29,1,"Bahia",1
"9",2020-03-06,35,4,"São Paulo",10
"10",2020-03-07,29,1,"Bahia",2
"11",2020-03-07,33,1,"Rio de Janeiro",2
"12",2020-03-07,35,3,"São Paulo",13
"13",2020-03-08,27,1,"Alagoas",1
"14",2020-03-08,31,1,"Minas Gerais",1
"15",2020-03-08,33,1,"Rio de Janeiro",3
"16",2020-03-08,35,3,"São Paulo",16
"17",2020-03-09,33,5,"Rio de Janeiro",8
"18",2020-03-10,35,3,"São Paulo",19
"19",2020-03-10,43,1,"Rio Grande do Sul",1
"20",2020-03-10,53,1,"Distrito Federal",2
"21",2020-03-11,29,1,"Bahia",3
"22",2020-03-11,33,6,"Rio de Janeiro",14
"23",2020-03-11,35,26,"São Paulo",45
"24",2020-03-11,43,3,"Rio Grande do Sul",4
"25",2020-03-12,24,1,"Rio Grande do Norte",1
"26",2020-03-12,26,2,"Pernambuco",2
"27",2020-03-12,31,1,"Minas Gerais",2
"28",2020-03-12,32,1,"Espírito Santo",2
"29",2020-03-12,33,2,"Rio de Janeiro",16
"30",2020-03-12,35,19,"São Paulo",64
"31",2020-03-12,41,6,"Paraná",6
"32",2020-03-12,42,2,"Santa Catarina",2
"33",2020-03-12,50,2,"Mato Grosso do Sul",2
"34",2020-03-12,52,3,"Goiás",3
"35",2020-03-12,53,1,"Distrito Federal",3
"36",2020-03-13,13,1,"Amazonas",1
"37",2020-03-13,29,4,"Bahia",7
"38",2020-03-13,33,3,"Rio de Janeiro",19
"39",2020-03-13,42,1,"Santa Catarina",3
"40",2020-03-13,43,2,"Rio Grande do Sul",6
"41",2020-03-14,26,5,"Pernambuco",7
"42",2020-03-14,28,1,"Sergipe",1
"43",2020-03-14,31,2,"Minas Gerais",4
"44",2020-03-14,32,2,"Espírito Santo",4
"45",2020-03-14,33,5,"Rio de Janeiro",24
"46",2020-03-14,35,1,"São Paulo",65
"47",2020-03-14,42,2,"Santa Catarina",5
"48",2020-03-14,43,1,"Rio Grande do Sul",7
"49",2020-03-14,50,1,"Mato Grosso do Sul",3
"50",2020-03-14,52,1,"Goiás",4
"51",2020-03-14,53,5,"Distrito Federal",8
"52",2020-03-15,23,3,"Ceará",3
"53",2020-03-15,26,1,"Pernambuco",8
"54",2020-03-15,29,2,"Bahia",9
"55",2020-03-15,35,71,"São Paulo",136
"56",2020-03-15,42,1,"Santa Catarina",6
"57",2020-03-15,50,3,"Mato Grosso do Sul",6
"58",2020-03-15,53,6,"Distrito Federal",14
"59",2020-03-16,23,6,"Ceará",9
"60",2020-03-16,26,10,"Pernambuco",18
"61",2020-03-16,28,4,"Sergipe",5
"62",2020-03-16,29,1,"Bahia",10
"63",2020-03-16,31,3,"Minas Gerais",7
"64",2020-03-16,32,4,"Espírito Santo",8
"65",2020-03-16,33,7,"Rio de Janeiro",31
"66",2020-03-16,35,16,"São Paulo",152
"67",2020-03-16,42,1,"Santa Catarina",7
"68",2020-03-16,43,4,"Rio Grande do Sul",11
"69",2020-03-16,50,1,"Mato Grosso do Sul",7
"70",2020-03-16,52,5,"Goiás",9
"71",2020-03-16,53,5,"Distrito Federal",19
"72",2020-03-17,12,6,"Acre",6
"73",2020-03-17,23,2,"Ceará",11
"74",2020-03-17,26,1,"Pernambuco",19
"75",2020-03-17,29,6,"Bahia",16
"76",2020-03-17,31,7,"Minas Gerais",14
"77",2020-03-17,33,2,"Rio de Janeiro",33
"78",2020-03-17,35,12,"São Paulo",164
"79",2020-03-17,41,6,"Paraná",12
"80",2020-03-17,43,8,"Rio Grande do Sul",19
"81",2020-03-17,52,1,"Goiás",10
"82",2020-03-17,53,2,"Distrito Federal",21
"83",2020-03-18,12,2,"Acre",8
"84",2020-03-18,13,1,"Amazonas",2
"85",2020-03-18,23,9,"Ceará",20
"86",2020-03-18,26,3,"Pernambuco",22
"87",2020-03-18,28,1,"Sergipe",6
"88",2020-03-18,29,12,"Bahia",28
"89",2020-03-18,31,5,"Minas Gerais",19
"90",2020-03-18,32,3,"Espírito Santo",11
"91",2020-03-18,33,30,"Rio de Janeiro",63
"92",2020-03-18,35,77,"São Paulo",241
"93",2020-03-18,41,3,"Paraná",15
"94",2020-03-18,43,9,"Rio Grande do Sul",28
"95",2020-03-18,52,2,"Goiás",12
"96",2020-03-18,53,13,"Distrito Federal",34
