ibgeID,populacao,beta,gamma,R0
3550308,12142621.23,0.4260492836732126,0.19872314530305338,2.143933878580103
3205200,499833.6095,0.33026505029332676,0.18880330346358218,1.749254617025442
2910800,625594.0163,0.1776687705724369,0.0657953135992866,2.7003256136826637
3304557,6592227.51,0.5033143864170379,0.19372480338047693,2.598089545759015
5300108,3052546.0,0.4290024511511039,0.14468750799753516,2.9650275762466807
2704302,1042028.3114000002,0.24078604566573925,0.11639592847900261,2.0686809995177464
3547304,156506.41682000004,0.14742384453953827,0.07128998990772228,2.067945930843357
3122306,241184.57110000006,0.09804604166580957,0.06477527002394412,1.5136338548579873
3303302,497883.51799999987,0.2403739168913289,0.04755038035411308,5.055141832751643
4314902,1480501.192,0.43992157066929316,0.13785239584699002,3.191250815528708
2611606,1607059.229,0.3963730122458458,0.13467148418955743,2.9432586611129143
4305108,535142.471,0.28382555755688743,0.17940164228231842,1.582067777898268
4106902,1927079.2810000002,0.4427093051503639,0.1464156391958951,3.0236476621055908
4105508,85585.0123,0.28618331884140635,0.1526486766881191,1.8747841452049776
4205407,505272.9184,0.3874631395320871,0.16672843206024657,2.32391761107715
5218805,262963.84959999996,0.31911395750791577,0.1863405696215616,1.7125307610468465
5208707,1509378.8079999997,0.3946957028379144,0.16812412028208357,2.3476447173414643
2408102,867882.399,0.3683767641083975,0.18010007931796515,2.045400343539169
2927408,2831557.625,0.4596719046506736,0.13766241166651083,3.3391243047828874
1302603,2216197.0045000003,0.4838206533637619,0.16776696209914957,2.8838851661260096
4209102,603550.0746000002,0.23794671686628488,0.09393896828386662,2.532992656969074
5002704,895602.5879999999,0.4540512983038971,0.18774985330281654,2.4183843039896833
3136702,573549.5835,0.3401773600928806,0.15149374609387675,2.24548780965573
2800308,677228.6136,0.31663292526722614,0.10126522701693831,3.126768532442671
3205309,371536.33460000006,0.43960680223878074,0.20009435585875784,2.196997513258642
4202800,33218.79806,0.35599460788884923,0.1479755500778653,2.4057664100692544
3548708,831146.9700000001,0.2931292106070188,0.06630380493704295,4.421001342009738
3548807,159433.25170000002,0.32102717686193216,0.0825085488022851,3.890835331878255
2304400,2651799.62,0.6508221638651537,0.16796245558707176,3.874807388296174
2301000,83096.69234000001,0.3478266874827915,0.16127384552709284,2.1567457906518332
3106200,2469866.5940000005,0.5817106977871286,0.12658945237780747,4.595254082077923
2925303,162991.82011000003,0.3939090080032416,0.1645815029073607,2.393397806222272
1200401,409761.7371,0.5335310043510606,0.18498239481905385,2.8842258468593736
3547809,704264.7479999999,0.4959379585464533,0.18865986007691427,2.628741261359282
3144805,99553.22337999998,0.4554317188199039,0.1938507029518203,2.3493942084548283
3170206,715639.9759000001,0.38599779934562334,0.16546141595992025,2.332856860351803
1721000,357030.58547000005,0.45675875075643235,0.19961652350765868,2.288181072038898
4202008,154969.1874,0.3623915871666573,0.09775924911861401,3.706980060034601
4115200,441327.9943,0.2191227786965202,0.05408880263913274,4.051167117868254
4108304,252873.9216,0.38274759018165966,0.1811443333723018,2.1129426632132473
1501402,1359971.2759999998,0.3201827806360427,0.0788322319980277,4.061571929665182
2507507,847296.4659,0.25726327324237735,0.07023350164245115,3.6629709074177788
3509502,1208953.0650000004,0.3255542051722644,0.13248640383455917,2.4572650155014877
3518800,1389885.3065,0.3188998718584251,0.04870881046672318,6.547067538762637
3513009,271550.128,0.2742847276542669,0.07610167230910117,3.6041879150856007
4218707,104927.50899999999,0.4402927862121657,0.17778739037217184,2.476513015295839
42,10000.0,0.32767403354110697,0.12811093733516224,2.5577366020190007
4321501,38433.52644,0.33930422764803053,0.12122205863973226,2.799030403009661
